EmployeeID,Username,FirstName,LastName,Email,HireDate,Age,Gender,Phone,Site,Role,Department,ShiftID,ShiftDate,HoursWorked,OreExtracted,OreType,Incident,SafetyScore
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,Mine E,Supervisor,Operations,16.0,2017-08-11,6.0,407.61,Copper,Major Accident,21.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,Mine E,Supervisor,Operations,17.0,,5.0,0.0,,Equipment Failure,19.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,,55.0,Other,(219)803-7593,Mine E,Supervisor,Operations,18.0,2019-07-20,11.0,186.15,Coal,None,95.0
4,charlie_thompson_11,Charlie,Thompson,invalid_email,2017-11-26,55.0,Other,(219)803-7593,Mine E,Supervisor,Operations,19.0,2019-11-01,7.0,616.27,Coal,Minor Injury,58.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,Mine E,Supervisor,Operations,20.0,2018-04-15,,0.0,,Environmental,85.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,Mine E,,Operations,21.0,2017-12-06,4.0,185.51,Copper,Environmental,25.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,Mine E,Supervisor,Operations,22.0,2019-10-22,10.0,530.51,Copper,Equipment Failure,18.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,,Supervisor,Operations,23.0,2018-05-09,5.0,602.47,Gold,None,110.0
4,charlie_thompson_11,Charlie,Thompson,charlie_thompson_11@miningco.com,2017-11-26,55.0,Other,(219)803-7593,Mine E,Supervisor,,24.0,2018-12-08,11.0,350.06,Diamond,Equipment Failure,82.0
5,grace_doe_721,Grace,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,25.0,2015-06-21,11.0,963.05,Coal,Minor Injury,62.0
5,grace_doe_721,Grace,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,26.0,2016-09-15,6.0,426.43,,Environmental,92.0
5,grace_doe_721,Grace,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,27.0,2016-02-29,6.0,461.24,Gold,None,7.0
5,grace_doe_721,Grace,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,28.0,2016-10-22,11.0,900.06,Coal,Major Accident,1.0
5,grace_doe_721,Grace,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,29.0,2016-11-13,12.0,883.13,Gold,Minor Injury,97.0
5,grace_doe_721,Grace,Doetypo,grace_doe_721@miningco.com,2015-01-22,,Other,(273)297-3148,Mine B,Technician,Operations,30.0,2015-09-01,11.0,752.36,Iron,Major Accident,82.0
5,grace_doe_721,Grace,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,31.0,2014-11-10,5.0,95.32,Gold,Major Accident,16.0
5,grace_doe_721,,Doe,grace_doe_721@miningco.com,2015-01-22,56.0,Other,(273)297-3148,Mine B,Technician,Operations,32.0,2016-03-27,9.0,280.43,Iron,None,61.0
6,paul_taylor_104,Paul,Taylor,paul_taylor_104@miningco.com,2015-08-13,64.0,Other,(954)502-5092,Mine A,Technician,Maintenance,33.0,2015-09-12,10.0,563.53,Iron,Equipment Failure,96.0
6,paul_taylor_104,Paul,Taylor,paul_taylor_104@miningco.com,2015-08-13,64.0,Other,(954)502-5092,Mine A,Technician,Maintenance,34.0,2017-07-17,8.0,0.0,,Major Accident,32.0
6,paul_taylor_104,Paul,Taylor,invalid_email,2015-08-13,64.0,Other,(954)502-5092,Mine A,,Maintenance,35.0,2017-03-09,4.0,405.87,Copper,Equipment Failure,43.0
7,noah_johnson_524,Noah123,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,(315)209-4251,Mine E,Miner,Maintenance,36.0,2019-06-16,8.0,905.15,Gold,,7.0
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,(315)209-4251,Mine E,Miner,Maintenance,37.0,2020-02-22,4.0,989.94,Gold,Equipment Failure,55.0
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,(315)209-4251,Mine E,Miner,Maintenance,38.0,2020-01-25,4.0,179.27,Diamond,Major Accident,88.0
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,(315)209-4251,Mine E,Miner,Maintenance,39.0,2019-08-08,12.0,636.17,Coal,None,32.0
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,,Mine E,Miner,Maintenance,40.0,2020-08-17,4.0,569.46,Iron,Equipment Failure,52.0
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,(315)209-4251,Mine E,Miner,Maintenance,41.0,2020-04-10,,842.1,Diamond,None,83.0
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,150.0,F,(315)209-4251,Mine E,Miner,Maintenance,42.0,2019-07-20,5.0,360.44,Coal,Minor Injury,
7,noah_johnson_524,Noah,Johnson,noah_johnson_524@miningco.com,2018-09-05,30.0,F,(315)209-4251,Mine E,Miner,Maintenance,43.0,2020-07-24,7.0,240.54,Coal,Equipment Failure,22.0
8,jane_moore_442,Jane,Moore,jane_moore_442@miningco.com,2022-08-23,31.0,Other,(427)448-3109,Mine A,Technician,Maintenance,44.0,,4.0,0.0,,Environmental,14.0
8,,Jane,Moore,jane_moore_442@miningco.com,2022-08-23,31.0,Other,(427)448-3109,Mine A,Technician,Maintenance,45.0,2023-12-19,4.0,935.03,Gold,Environmental,47.0
8,jane_moore_442,Jane,Moore,jane_moore_442@miningco.com,2022-08-23,31.0,Other,(427)448-3109,Mine A,Technician,Maintenance,46.0,2023-11-24,6.0,380.72,Coal,Major Accident,99.0
8,jane_moore_442,Jane,Moore,jane_moore_442@miningco.com,2022-08-23,31.0,Other,(427)448-3109,Mine A,Technician,Maintenance,47.0,2024-04-28,10.0,717.68,Diamond,Equipment Failure,77.0
8,jane_moore_442,Jane,Moore,jane_moore_442@miningco.com,2022-08-23,31.0,Other,(427)448-3109,Mine A,Technician,Maintenance,48.0,2023-03-31,10.0,506.34,Iron,Minor Injury,57.0
9,paul_garcia_174,Paul,Garcia,paul_garcia_174@miningco.com,2018-04-17,32.0,,(314)173-8262,Mine D,Safety Officer,Exploration,49.0,2019-09-03,11.0,524.35,Copper,None,-10.0
9,paul_garcia_174,Paul,Garcia,paul_garcia_174@miningco.com,2018-04-17,32.0,F,(314)173-8262,Mine D,Safety Officer,Exploration,50.0,2018-09-01,7.0,,Copper,Equipment Failure,14.0
10,noah_thompson_862,Noah,Thompson,noah_thompson_862@miningco.com,2017-01-18,30.0,Other,(972)147-3600,Mine D,Safety Officer,Safety,51.0,2017-07-11,9.0,731.14,Diamond,Minor Injury,48.0
10,noah_thompson_862,Noah,Thompson,noah_thompson_862@miningco.com,2017-01-18,30.0,Other,(972)147-3600,Mine D,Safety Officer,Safety,52.0,2017-03-24,7.0,0.0,,Equipment Failure,25.0
10,noah_thompson_862,Noah,Thompson,noah_thompson_862@miningco.com,2017-01-18,30.0,Other,(972)147-3600,Mine D,Safety Officer,Safety,53.0,2016-05-20,10.0,159.35,Iron,Minor Injury,12.0
11,noah_jackson_560,Noah,Jacksontypo,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,54.0,2017-12-19,11.0,0.0,,Equipment Failure,12.0
11,noah_jackson_560,,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,55.0,2017-09-16,9.0,496.76,Diamond,None,38.0
11,noah_jackson_560,Noah,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,56.0,2018-03-08,8.0,179.08,,Minor Injury,35.0
11,noah_jackson_560,Noah,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,57.0,2018-03-27,5.0,0.0,,None,94.0
11,noah_jackson_560,Noah,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,58.0,2016-10-17,8.0,206.69,Copper,Minor Injury,24.0
11,noah_jackson_560,,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,59.0,2016-12-07,5.0,6.22,Coal,Minor Injury,45.0
11,noah_jackson_560,Noah,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,60.0,2018-02-02,10.0,143.8,Iron,None,3.0
11,,Noah,Jackson,noah_jackson_560@miningco.com,2016-09-30,34.0,F,(485)937-2109,Mine C,Miner,Maintenance,61.0,2018-09-18,10.0,449.64,Coal,None,4.0
12,mia_johnson_130,Mia,Johnson,mia_johnson_130@miningco.com,2019-01-02,62.0,F,(646)753-4217,Mine B,Technician,Maintenance,,,,,,,
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,62.0,2017-10-15,10.0,380.67,Diamond,Minor Injury,53.0
13,leo_clark_502,Leox,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,63.0,2016-04-17,11.0,62.14,Coal,Equipment Failure,52.0
13,leo_clark_502,Leo ,Clark,invalid_email,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,64.0,2016-04-17,9.0,451.22,Iron,Minor Injury,98.0
13,leo_clark_502,Leo,Clark,invalid_email,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,65.0,2017-05-12,11.0,823.63,Iron,None,21.0
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,66.0,2016-11-28,12.0,710.11,Iron,Equipment Failure,17.0
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,67.0,2016-12-27,4.0,871.37,Coal,Minor Injury,
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,,(343)950-1696,Mine E,Engineer,Operations,68.0,2017-02-17,,685.4,Coal,Equipment Failure,64.0
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,69.0,2017-09-09,9.0,119.07,,None,27.0
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,70.0,2016-05-18,9.0,354.59,Coal,None,91.0
13,leo_clark_502,Leo,Clark,leo_clark_502@miningco.com,2016-01-30,33.0,F,(343)950-1696,Mine E,Engineer,Operations,71.0,2016-10-05,4.0,401.9,Diamond,None,98.0
14,alice_thomas_786,Alice,Thomas,alice_thomas_786@miningco.com,2017-03-06,45.0,F,(399)499-6754,Mine B,Engineer,Operations,72.0,2019-02-02,7.0,885.07,Copper,Minor Injury,91.0
14,alice_thomas_786,Alice,Thomas,alice_thomas_786miningco.com,2017-03-06,45.0,F,(399)499-6754,Mine B,Engineer,Operations,73.0,2017-10-18,8.0,242.93,Gold,Equipment Failure,70.0
14,alice_thomas_786,Alice,Thomas,alice_thomas_786@miningco.com,2017-03-06,45.0,F,(399)499-6754,Mine B,Engineer,Operations,74.0,2018-07-07,10.0,478.35,Coal,Environmental,6.0
14,alice_thomas_786,Alice,Thomas,alice_thomas_786@miningco.com,2017-03-06,45.0,F,(399)499-6754,Mine B,Engineer,Operations,75.0,2017-09-05,8.0,669.89,Coal,Major Accident,30.0
15,ryan_white_771,Ryan,White,ryan_white_771@miningco.com,2020-10-17,40.0,Other,(964)452-4410,Mine A,Supervisor,Maintenance,76.0,2022-09-25,4.0,968.69,Diamond,Environmental,59.0
15,ryan_white_771,Ryan,White,ryan_white_771@miningco.com,2020-10-17,40.0,Other,(964)452-4410,Mine A,Supervisor,Maintenance,77.0,2020-10-26,7.0,0.0,,Environmental,46.0
15,ryan_white_771,Ryan,White,ryan_white_771@miningco.com,2020-10-17,40.0,Other,(964)452-4410,Mine A,Supervisor,Maintenance,78.0,2022-02-26,7.0,0.0,,None,61.0
16,ivy_davis_168,Ivy,Davis,ivy_davis_168@miningco.com,2021-03-13,41.0,M,(338)359-7203,Mine D,Safety Officer,Safety,79.0,2021-11-20,4.0,0.0,,Environmental,4.0
16,ivy_davis_168,Ivy,Davis,ivy_davis_168@miningco.com,2021-03-13,41.0,M,(338)359-7203,Mine D,Safety Officer,Safety,,2021-12-11,10.0,0.0,,Environmental,56.0
16,ivy_davis_168,Ivy,,ivy_davis_168@miningco.com,2021-03-13,41.0,M,(338)359-7203,Mine D,Safety Officer,Safety,81.0,2022-06-29,11.0,222.09,Coal,Environmental,70.0
16,ivy_davis_168,Ivy,Davis,ivy_davis_168@miningco.com,2021-03-13,41.0,M,(338)359-7203,Mine D,Safety Officer,Safety,82.0,2021-03-27,8.0,972.29,Coal,Minor Injury,5.0
16,ivy_davis_168,Ivy,Davis,ivy_davis_168@miningco.com,2021-03-13,41.0,M,(338)359-7203,Mine D,Safety Officer,Safety,83.0,2022-12-04,8.0,148.83,Iron,Minor Injury,12.0
17,leo_martin_168,Leo,,leo_martin_168@miningco.com,2021-09-09,30.0,Other,(652)530-1145,Mine B,Technician,Administration,84.0,2022-11-01,5.0,323.92,Gold,Minor Injury,46.0
17,leo_martin_168,Leo!,Martin,leo_martin_168@miningco.com,2021-09-09,30.0,Other,(652)530-1145,Mine B,Technician,Administration,85.0,2022-11-06,10.0,252.17,Diamond,Major Accident,11.0
17,leo_martin_168,Leo,Martin,leo_martin_168@miningco.com,,30.0,Other,(652)530-1145,Mine B,Technician,Administration,86.0,2023-01-11,,0.0,,Minor Injury,
17,leo_martin_168,Leo,Martin,leo_martin_168@miningco.com,2021-09-09,30.0,,(652)530-1145,Mine B,Technician,Administration,87.0,2022-10-01,4.0,515.71,Gold,Equipment Failure,8.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,88.0,2023-01-11,6.0,965.58,Gold,Minor Injury,57.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,89.0,2022-07-08,10.0,884.54,Diamond,Minor Injury,14.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,90.0,2022-09-23,11.0,418.55,Copper,Major Accident,62.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,91.0,2022-08-03,6.0,0.0,,None,9.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,92.0,2023-08-17,4.0,242.47,Coal,Major Accident,83.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,93.0,2024-03-27,5.0,157.11,Iron,Equipment Failure,11.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,30.0,F,(177)126-2493,Mine B,Safety Officer,Exploration,94.0,2023-03-19,12.0,630.15,Gold,Environmental,22.0
18,jane_thomas_459,Jane,Thomas,jane_thomas_459@miningco.com,2022-05-30,,F,(177)126-2493,Mine B,Safety Officer,Exploration,95.0,2023-02-02,9.0,0.0,,Equipment Failure,21.0
19,david_clark_575,David,Clark,david_clark_575@miningco.com,2021-08-27,43.0,F,(448)725-1659,Mine E,Supervisor,Safety,96.0,2023-03-07,5.0,22.02,Gold,Minor Injury,37.0
20,henry_moore_207,Henry,Moore,henry_moore_207@miningco.com,2019-02-01,64.0,Other,,Mine C,Engineer,Operations,97.0,2019-05-18,6.0,0.0,,Major Accident,54.0
20,henry_moore_207,Henryx,Moore,henry_moore_207@miningco.com,2019-02-01,64.0,Other,(557)318-8984,Mine C,,Operations,98.0,2020-06-07,7.0,737.67,Gold,Minor Injury,67.0
20,henry_moore_207,Henry,Moore,henry_moore_207@miningco.com,2019-02-01,64.0,Other,(557)318-8984,Mine C,Engineer,Operations,99.0,2019-11-08,12.0,325.13,Gold,Minor Injury,54.0
20,henry_moore_207,Henry,Moore,henry_moore_207@miningco.com,2019-02-01,64.0,Other,(557)318-8984,Mine C,Engineer,Operations,100.0,2020-01-09,12.0,680.63,Iron,Equipment Failure,69.0
21,jack_harris_258,Jack,Harris,jack_harris_258@miningco.com,2018-03-05,47.0,Other,(482)166-6127,Mine D,Technician,Administration,101.0,2019-11-30,11.0,643.82,Coal,None,7.0
21,jack_harris_258,Jack,Harris,jack_harris_258@miningco.com,2018-03-05,47.0,Other,(482)166-6127,Mine D,Technician,Administration,102.0,2020-01-15,6.0,335.45,Gold,,57.0
21,jack_harris_258,Jack,Harris,jack_harris_258@miningco.com,2018-03-05,47.0,Other,(482)166-6127,Mine D,Technician,Administration,103.0,2019-10-15,10.0,199.36,Coal,Equipment Failure,65.0
21,jack_harris_258,Jack,,,2018-03-05,47.0,Other,(482)166-6127,,Technician,Administration,104.0,2018-09-20,4.0,714.18,Coal,Environmental,78.0
21,jack_harris_258,Jack,Harris,jack_harris_258@miningco.com,2018-03-05,47.0,Other,(482)166-6127,Mine D,Technician,Administration,105.0,2019-04-17,11.0,338.27,Diamond,Major Accident,18.0
21,jack_harris_258,Jack,Harris,jack_harris_258@miningco.com,2018-03-05,,Other,(482)166-6127,Mine D,Technician,Administration,106.0,2020-01-03,8.0,0.0,,Minor Injury,62.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,Technician,Maintenance,107.0,2016-03-07,8.0,0.0,,Equipment Failure,29.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,Technician,Maintenance,108.0,2015-12-30,6.0,0.0,,Environmental,-10.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,Technician,Maintenance,109.0,2016-05-24,5.0,146.96,Coal,None,76.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,,Maintenance,110.0,2016-12-20,12.0,731.11,Diamond,None,26.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,Technician,Maintenance,111.0,2015-06-07,7.0,893.81,Copper,Minor Injury,30.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,Technician,Maintenance,112.0,2015-06-25,4.0,619.9,Iron,Major Accident,71.0
22,charlie_taylor_140,Charlie,Taylor,charlie_taylor_140@miningco.com,2015-01-16,29.0,M,(135)970-5521,Mine B,Technician,Maintenance,113.0,2016-01-17,7.0,488.69,Copper,Equipment Failure,59.0
23,john_smith_342,John,Smith,john_smith_342@miningco.com,2022-06-09,44.0,F,(481)378-6310,Mine D,Technician,Exploration,114.0,2022-08-31,6.0,917.28,,Equipment Failure,3.0
23,john_smith_342,John,Smith,,2022-06-09,44.0,F,(481)378-6310,Mine D,Technician,Exploration,115.0,2024-02-19,11.0,463.4,Coal,Environmental,59.0
23,john_smith_342,John,Smith,john_smith_342@miningco.com,2022-06-09,44.0,F,(481)378-6310,Mine D,Technician,Exploration,116.0,2022-08-02,,65.58,Gold,Major Accident,44.0
23,john_smith_342,John,Smith,john_smith_342@miningco.com,2022-06-09,44.0,F,(481)378-6310,Mine D,Technician,Exploration,117.0,2022-07-29,8.0,0.0,,Major Accident,24.0
24,jane_brown_508,Jane,Browntypo,jane_brown_508@miningco.com,2021-08-15,28.0,M,(611)453-6032,Mine C,Engineer,Exploration,118.0,2023-03-01,12.0,667.11,Iron,Environmental,24.0
24,jane_brown_508,Jane,Brown,jane_brown_508@miningco.com,2021-08-15,28.0,M,(611)453-6032,Mine C,Engineer,Exploration,119.0,2023-02-03,6.0,973.67,Coal,None,48.0
24,jane_brown_508,Jane!,Brown,jane_brown_508@miningco.com,2021-08-15,,M,(611)453-6032,Mine C,Engineer,Exploration,120.0,2023-02-17,9.0,965.29,Gold,Environmental,61.0
24,jane_brown_508,Jane,Brown,jane_brown_508@miningco.com,2021-08-15,28.0,M,(611)453-6032,Mine C,Engineer,Exploration,121.0,2021-09-09,5.0,766.82,Diamond,Environmental,67.0
24,jane_brown_508,Jane,Brown,jane_brown_508@miningco.com,2021-08-15,28.0,M,(611)453-6032,Mine C,Engineer,Exploration,122.0,2022-08-15,4.0,984.78,,Equipment Failure,84.0
24,jane_brown_508,Jane,Brown,jane_brown_508@miningco.com,2021-08-15,28.0,M,(611)453-6032,Mine C,Engineer,Exploration,123.0,2021-08-31,9.0,735.25,Gold,Minor Injury,83.0
24,jane_brown_508,Jane,,jane_brown_508@miningco.com,2021-08-15,28.0,M,(611)453-6032,Mine C,Engineer,Exploration,124.0,2021-11-08,6.0,310.92,Copper,Minor Injury,40.0
25,paul_davis_666,Paul,,paul_davis_666@miningco.com,2021-08-12,31.0,M,(626)930-7499,Mine E,Miner,Maintenance,125.0,2022-06-19,7.0,0.0,,Major Accident,30.0
25,paul_davis_666,Paul,Davis,paul_davis_666@miningco.com,2021-08-12,31.0,M,(626)930-7499,Mine E,Miner,Maintenance,126.0,2023-01-09,8.0,869.32,Coal,None,10.0
26,jane_davis_498,Jane,Davis,jane_davis_498@miningco.com,2018-09-10,33.0,Other,(526)339-7786,Mine E,Safety Officer,Administration,127.0,2019-01-11,11.0,41.72,Copper,Major Accident,54.0
26,jane_davis_498,Jane,Davis,jane_davis_498@miningco.com,2018-09-10,33.0,Other,(526)339-7786,,Safety Officer,Administration,128.0,2019-02-26,10.0,0.0,,None,36.0
26,jane_davis_498,,Davis,jane_davis_498@miningco.com,2018-09-10,33.0,Other,(526)339-7786,Mine E,,Administration,129.0,2019-01-30,11.0,806.86,Coal,Minor Injury,99.0
26,jane_davis_498,Jane,Davis,jane_davis_498@miningco.com,2018-09-10,33.0,Other,(526)339-7786,Mine E,Safety Officer,Administration,130.0,2019-03-30,8.0,537.93,Diamond,Minor Injury,13.0
26,jane_davis_498,Jane,,jane_davis_498@miningco.com,2018-09-10,33.0,Other,(526)339-7786,Mine E,Safety Officer,Administration,131.0,2020-03-30,11.0,942.61,Copper,None,8.0
26,jane_davis_498,Jane,,jane_davis_498miningco.com,2018-09-10,33.0,Other,(526)339-7786,Mine E,Safety Officer,Administration,132.0,2020-01-04,5.0,0.0,,Equipment Failure,73.0
26,jane_davis_498,Jane,Davis,jane_davis_498@miningco.com,2018-09-10,33.0,Other,(526)339-7786,Mine E,Safety Officer,,133.0,2020-07-06,7.0,,Diamond,Equipment Failure,28.0
27,quinn_martin_131,Quinn,Martin,quinn_martin_131@miningco.com,2021-02-04,62.0,F,,Mine A,Engineer,Operations,134.0,2021-08-29,6.0,0.0,,Environmental,41.0
27,quinn_martin_131,Quinn,Martin,quinn_martin_131@miningco.com,2021-02-04,62.0,F,(917)952-5617,Mine A,Engineer,Operations,135.0,2021-11-21,10.0,198.59,Copper,Minor Injury,53.0
27,quinn_martin_131,Quinn ,Martin,quinn_martin_131@miningco.com,2021-02-04,62.0,F,(917)952-5617,Mine A,Engineer,Operations,136.0,2022-03-06,12.0,909.97,Gold,Equipment Failure,88.0
